Threshold,Precision,Recall,N_PRED
0.05,0.7811518324607329,0.8838862559241706,955
0.1,0.7811518324607329,0.8838862559241706,955
0.15,0.7811518324607329,0.8838862559241706,955
0.2,0.7811518324607329,0.8838862559241706,955
0.25,0.7811518324607329,0.8838862559241706,955
0.3,0.8094713656387665,0.8708530805687204,908
0.35,0.8455188679245284,0.8495260663507109,848
0.4,0.8679012345679012,0.8329383886255924,810
0.45,0.8802547770700637,0.8187203791469194,785
0.5,0.8970588235294118,0.7950236966824644,748
0.55,0.9025069637883009,0.7677725118483413,718
0.6,0.9188790560471977,0.7381516587677726,678
0.65,0.9290123456790124,0.7132701421800948,648
0.7,0.9477977161500816,0.6883886255924171,613
0.75,0.9647266313932981,0.6481042654028436,567
0.8,0.9735234215885947,0.566350710900474,491
0.85,0.9830028328611898,0.41113744075829384,353
0.9,1.0,0.1504739336492891,127
0.95,1.0,0.001184834123222749,1
