Threshold,Precision,Recall,N_PRED
0.05,0.7315573770491803,0.8459715639810427,976
0.1,0.7315573770491803,0.8459715639810427,976
0.15,0.7315573770491803,0.8459715639810427,976
0.2,0.7315573770491803,0.8459715639810427,976
0.25,0.7315573770491803,0.8459715639810427,976
0.3,0.761129207383279,0.830568720379147,921
0.35,0.7925407925407926,0.8056872037914692,858
0.4,0.8155940594059405,0.7808056872037915,808
0.45,0.8442953020134228,0.745260663507109,745
0.5,0.8700564971751412,0.7298578199052133,708
0.55,0.8952959028831563,0.6990521327014217,659
0.6,0.9155844155844156,0.6682464454976303,616
0.65,0.9301075268817204,0.6149289099526066,558
0.7,0.9490835030549898,0.5521327014218009,491
0.75,0.9601990049751243,0.45734597156398105,402
0.8,0.9752650176678446,0.32701421800947866,283
0.85,0.9944444444444445,0.21208530805687204,180
0.9,1.0,0.05924170616113744,50
0.95,1.0,0.001184834123222749,1
