Threshold,Precision,Recall,N_PRED
0.05,0.7538619979402678,0.8672985781990521,971
0.1,0.7538619979402678,0.8672985781990521,971
0.15,0.7538619979402678,0.8672985781990521,971
0.2,0.7538619979402678,0.8672985781990521,971
0.25,0.7538619979402678,0.8672985781990521,971
0.3,0.787513691128149,0.8518957345971564,913
0.35,0.8048220436280138,0.830568720379147,871
0.4,0.8309002433090025,0.8092417061611374,822
0.45,0.8474358974358974,0.783175355450237,780
0.5,0.8604026845637583,0.759478672985782,745
0.55,0.884180790960452,0.7417061611374408,708
0.6,0.8998482549317147,0.70260663507109,659
0.65,0.9201954397394136,0.669431279620853,614
0.7,0.9336823734729494,0.6338862559241706,573
0.75,0.9574468085106383,0.5864928909952607,517
0.8,0.9660633484162896,0.5059241706161137,442
0.85,0.985663082437276,0.32582938388625593,279
0.9,1.0,0.12796208530805686,108
0.95,1.0,0.004739336492890996,4
