epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82351,5.57074,10.3451,4.16266,0,0,0,0,0.50761,4.96579,0.29444,0,0,0
2,10.7615,5.68528,8.76983,4.18051,0,0,0,0,0.50789,4.96572,0.2946,1.9868e-05,1.9868e-05,1.9868e-05
3,14.5816,5.74368,9.64739,4.27207,0,0,0,0,0.50827,4.96555,0.29481,3.9472e-05,3.9472e-05,3.9472e-05
4,18.2031,4.73762,8.05329,4.25577,0,0,0,0,0.50879,4.96546,0.2951,5.8812e-05,5.8812e-05,5.8812e-05
5,21.9051,6.14146,10.3501,4.30693,0,0,0,0,0.50944,4.96545,0.29545,7.7888e-05,7.7888e-05,7.7888e-05
6,25.7099,4.49396,7.87484,4.18893,0,0,0,0,0.51027,4.96519,0.29592,9.67e-05,9.67e-05,9.67e-05
7,29.4931,6.21091,9.84274,4.1853,0,0,0,0,0.51133,4.96546,0.2965,0.000115248,0.000115248,0.000115248
8,33.2173,4.24926,8.56666,4.17325,0,0,0,0,0.51272,4.9668,0.29727,0.000133532,0.000133532,0.000133532
9,37.0054,6.50549,11.7936,4.28272,0,0,0,0,0.5143,4.96736,0.29814,0.000151552,0.000151552,0.000151552
10,40.879,4.80494,8.82712,4.20891,0,0,0,0,0.51619,4.96908,0.29919,0.000169308,0.000169308,0.000169308
11,44.8046,4.8066,6.2232,4.12675,0,0,0,0,0.51872,4.97127,0.30058,0.0001868,0.0001868,0.0001868
