epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1569,2.97109,2.49912,3.1804,0.25521,0.37452,0.22052,0.07154,2.28089,3.42665,2.71223,0.000663978,0.000663978,0.000663978
2,150.68,2.19228,1.77459,2.21391,0.48107,0.47791,0.4429,0.17775,2.01994,1.94704,2.34639,0.00132186,0.00132186,0.00132186
3,223.369,1.98874,1.55947,2.00277,0.44079,0.48456,0.43152,0.17836,1.94791,2.05871,2.22952,0.00197095,0.00197095,0.00197095
4,297.647,1.89453,1.4606,1.90067,0.51412,0.5533,0.51059,0.2245,1.85448,1.9798,2.16854,0.0019604,0.0019604,0.0019604
5,370.224,1.79666,1.35524,1.80978,0.65453,0.60531,0.63546,0.30891,1.67012,1.53891,1.98158,0.0019472,0.0019472,0.0019472
6,442.669,1.744,1.29948,1.76736,0.69169,0.62172,0.67665,0.33059,1.64904,1.4504,1.95634,0.001934,0.001934,0.001934
7,516.324,1.69131,1.22852,1.73162,0.62549,0.61441,0.63784,0.31038,1.61177,1.62923,1.88204,0.0019208,0.0019208,0.0019208
8,588.549,1.64503,1.16813,1.68276,0.63325,0.61574,0.64018,0.32711,1.6053,1.50032,1.91,0.0019076,0.0019076,0.0019076
9,659.449,1.61503,1.13476,1.67047,0.60159,0.56426,0.58482,0.28766,1.6289,1.5503,1.94264,0.0018944,0.0018944,0.0018944
10,730.576,1.59238,1.10024,1.64277,0.71034,0.66135,0.72389,0.3912,1.49865,1.29662,1.83892,0.0018812,0.0018812,0.0018812
11,801.986,1.57914,1.06916,1.63188,0.71179,0.70541,0.75147,0.39027,1.54703,1.26642,1.83526,0.001868,0.001868,0.001868
12,873.551,1.54448,1.03826,1.60955,0.76625,0.69133,0.76755,0.41662,1.4948,1.16763,1.78433,0.0018548,0.0018548,0.0018548
13,944.565,1.52363,1.00464,1.59576,0.68448,0.7001,0.72804,0.39334,1.46668,1.30116,1.7761,0.0018416,0.0018416,0.0018416
14,1014.99,1.50185,0.98787,1.57831,0.7502,0.7177,0.77845,0.42785,1.46016,1.14023,1.78567,0.0018284,0.0018284,0.0018284
15,1086.87,1.49429,0.96679,1.56193,0.74853,0.71538,0.76597,0.42833,1.4051,1.15098,1.71449,0.0018152,0.0018152,0.0018152
16,1157.55,1.46637,0.93652,1.54047,0.75,0.70939,0.78464,0.43611,1.44272,1.13818,1.75573,0.001802,0.001802,0.001802
