epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3586,2.93235,3.85145,3.87386,0.00304,0.90111,0.02755,0.00754,2.2813,3.91291,3.24143,0.000657534,0.000657534,0.000657534
2,93.4837,2.57135,3.07182,3.07339,0.10312,0.20891,0.05928,0.01801,2.23358,4.49223,3.20355,0.00131546,0.00131546,0.00131546
3,139.061,2.38104,2.71711,2.8387,0.22827,0.31616,0.16535,0.06237,2.11172,9.73705,3.04933,0.00196459,0.00196459,0.00196459
4,183.851,2.23803,2.53824,2.72987,0.16028,0.21454,0.09588,0.03443,2.32723,6.27347,3.15993,0.0019604,0.0019604,0.0019604
5,227.696,2.14255,2.29357,2.62964,0.38061,0.4108,0.35888,0.15752,2.01374,2.60171,2.82786,0.0019472,0.0019472,0.0019472
6,279.412,2.02977,2.0807,2.53871,0.27212,0.51811,0.24094,0.0927,2.01826,2.61278,2.71158,0.001934,0.001934,0.001934
7,333.122,1.94463,1.94935,2.4656,0.51851,0.42296,0.42457,0.17249,2.04335,2.34381,2.761,0.0019208,0.0019208,0.0019208
8,386.531,1.83417,1.74062,2.35636,0.54095,0.461,0.49296,0.22261,1.85675,2.39492,2.61637,0.0019076,0.0019076,0.0019076
9,437.785,1.80775,1.69193,2.31067,0.61563,0.60446,0.60642,0.29569,1.77925,1.83983,2.56658,0.0018944,0.0018944,0.0018944
10,486.414,1.73292,1.57667,2.22336,0.53429,0.54168,0.45725,0.19336,1.99852,2.0596,2.78592,0.0018812,0.0018812,0.0018812
