epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.111,3.05638,4.04099,3.9606,0.00138,0.27458,0.00109,0.00028,2.76179,4.28812,4.18167,0.00065,0.00065,0.00065
2,525.887,2.61174,3.033,3.07297,0.00139,0.19322,0.00095,0.00022,2.87694,4.25486,4.47244,0.00130798,0.00130798,0.00130798
3,787.592,2.30743,2.37273,2.7179,0.0017,0.09492,0.001,0.00023,2.86809,4.31453,4.31085,0.00195715,0.00195715,0.00195715
4,1044.11,2.09975,2.04877,2.51817,0.53866,0.49492,0.4955,0.18986,2.03242,2.17793,2.57688,0.0019604,0.0019604,0.0019604
5,1272.63,1.91852,1.78514,2.35511,0.60774,0.64068,0.60551,0.26255,1.92237,1.86285,2.40499,0.0019472,0.0019472,0.0019472
6,1499.95,1.83096,1.68974,2.26195,0.79933,0.54237,0.67622,0.35255,1.69194,1.98487,2.23449,0.001934,0.001934,0.001934
7,1726.36,1.73136,1.55971,2.14481,0.71757,0.68136,0.71535,0.39059,1.568,1.58567,2.06447,0.0019208,0.0019208,0.0019208
8,1953.94,1.67128,1.45621,2.08775,0.73154,0.61017,0.72115,0.40821,1.51481,1.42108,1.98894,0.0019076,0.0019076,0.0019076
9,2182.13,1.62127,1.37605,2.02704,0.7467,0.72542,0.76518,0.45223,1.4533,1.28242,1.87744,0.0018944,0.0018944,0.0018944
10,2410.25,1.59064,1.34151,2.00192,0.77886,0.75254,0.78735,0.45576,1.47659,1.29312,1.92369,0.0018812,0.0018812,0.0018812
11,2638.54,1.56122,1.29804,1.97323,0.73076,0.68084,0.75398,0.43284,1.43057,1.61764,1.95951,0.001868,0.001868,0.001868
12,2866.44,1.51001,1.28268,1.92003,0.74027,0.74576,0.80946,0.47712,1.49238,1.26746,1.88544,0.0018548,0.0018548,0.0018548
13,3095.43,1.50254,1.28339,1.90012,0.76709,0.75254,0.78151,0.46276,1.44211,1.18697,1.8996,0.0018416,0.0018416,0.0018416
14,3324.59,1.45959,1.18831,1.88179,0.72255,0.79322,0.79921,0.45037,1.46606,1.39795,2.00644,0.0018284,0.0018284,0.0018284
15,3553.46,1.4775,1.20881,1.8892,0.79189,0.75254,0.80166,0.45231,1.47159,1.15261,2.01604,0.0018152,0.0018152,0.0018152
16,3783.74,1.44031,1.15728,1.8568,0.763,0.81356,0.82166,0.52565,1.2957,1.15303,1.76974,0.001802,0.001802,0.001802
17,4013.63,1.42291,1.12764,1.82113,0.74565,0.85763,0.85038,0.52518,1.33577,1.11346,1.80856,0.0017888,0.0017888,0.0017888
18,4243.29,1.36028,1.08074,1.78632,0.7505,0.77966,0.82073,0.49356,1.37509,1.14109,1.88268,0.0017756,0.0017756,0.0017756
19,4473.37,1.40675,1.07978,1.81412,0.69972,0.85085,0.84255,0.48822,1.43706,1.05362,1.83056,0.0017624,0.0017624,0.0017624
20,4702.39,1.41567,1.11785,1.81481,0.71424,0.77966,0.79486,0.48952,1.3294,1.11048,1.7799,0.0017492,0.0017492,0.0017492
21,4932.31,1.3501,1.06711,1.77309,0.77774,0.79475,0.81111,0.47107,1.41782,1.08518,1.91958,0.001736,0.001736,0.001736
22,5162.4,1.35902,1.03922,1.77153,0.8146,0.80678,0.85115,0.55478,1.23112,1.04085,1.693,0.0017228,0.0017228,0.0017228
23,5392.53,1.30337,1.00968,1.7367,0.78705,0.82688,0.83558,0.53849,1.2873,1.0798,1.7339,0.0017096,0.0017096,0.0017096
24,5622.35,1.35868,1.03622,1.77988,0.76601,0.86102,0.84011,0.52871,1.3223,0.99658,1.79066,0.0016964,0.0016964,0.0016964
25,5852.11,1.27479,0.96977,1.69624,0.76748,0.79661,0.85781,0.53809,1.30823,0.97744,1.74876,0.0016832,0.0016832,0.0016832
26,6082.47,1.31207,0.97444,1.72165,0.80213,0.81075,0.8515,0.52061,1.36023,0.98232,1.74434,0.00167,0.00167,0.00167
27,6313.39,1.28008,0.99346,1.7144,0.78386,0.79909,0.82939,0.50206,1.35559,1.01548,1.85741,0.0016568,0.0016568,0.0016568
