epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.115,3.01425,3.83917,3.95978,0.00121,0.25763,0.00087,0.00022,2.81749,4.29118,4.23205,0.00065,0.00065,0.00065
2,1035.8,2.55762,2.7428,3.14421,0.00122,0.18305,0.00077,0.00018,2.96265,4.14894,4.33202,0.00126453,0.00126453,0.00126453
3,1548.18,2.3104,2.19515,2.85611,1,0.01433,0.03064,0.00742,2.77364,4.2449,4.11877,0.00182625,0.00182625,0.00182625
4,2060.78,2.1142,1.91349,2.67541,0.29201,0.35374,0.32128,0.14498,1.96992,2.45648,2.75636,0.0017624,0.0017624,0.0017624
5,2573.25,1.94719,1.71163,2.51467,0.58057,0.60339,0.60186,0.2909,1.76053,2.04967,2.55667,0.0016832,0.0016832,0.0016832
6,3086.05,1.84134,1.5783,2.39552,0.63939,0.65424,0.67494,0.3291,1.72127,1.91225,2.56436,0.001604,0.001604,0.001604
7,3599.13,1.73224,1.45416,2.30016,0.72688,0.69831,0.73109,0.40171,1.62729,1.40493,2.43193,0.0015248,0.0015248,0.0015248
8,4111.93,1.64804,1.35785,2.1924,0.68279,0.74237,0.72307,0.41576,1.47964,1.3298,2.25765,0.0014456,0.0014456,0.0014456
9,4624.89,1.60007,1.30357,2.16771,0.71807,0.77288,0.77835,0.45907,1.49352,1.21392,2.317,0.0013664,0.0013664,0.0013664
10,5136.74,1.54383,1.2513,2.09672,0.72383,0.75932,0.77455,0.45435,1.47846,1.28945,2.13811,0.0012872,0.0012872,0.0012872
11,5648.82,1.48496,1.18405,2.05558,0.72971,0.70847,0.74192,0.40007,1.64819,1.37274,2.44626,0.001208,0.001208,0.001208
12,6159.85,1.43473,1.17035,2.01885,0.78544,0.82034,0.85619,0.50066,1.39918,1.09757,2.07705,0.0011288,0.0011288,0.0011288
13,6671.9,1.44446,1.15048,1.99799,0.71897,0.6851,0.76539,0.4709,1.35547,1.23718,2.05761,0.0010496,0.0010496,0.0010496
14,7183.4,1.41355,1.07995,1.97188,0.79418,0.78478,0.83812,0.52885,1.38,1.01851,2.08328,0.0009704,0.0009704,0.0009704
15,7696.06,1.37973,1.07611,1.93878,0.80393,0.75932,0.82998,0.51559,1.35684,1.00442,2.12385,0.0008912,0.0008912,0.0008912
16,8205.61,1.28105,1.0057,1.93899,0.7829,0.80679,0.85064,0.5216,1.31405,1.04951,1.99257,0.000812,0.000812,0.000812
17,8716.45,1.24696,0.90206,1.88248,0.78518,0.8339,0.87926,0.57416,1.22551,0.90993,1.9261,0.0007328,0.0007328,0.0007328
18,9226.78,1.23982,0.89352,1.89508,0.84232,0.83296,0.89198,0.57256,1.24641,0.93165,1.9895,0.0006536,0.0006536,0.0006536
19,9737.31,1.20979,0.8238,1.85433,0.80961,0.81695,0.8864,0.54789,1.38763,0.94771,1.99723,0.0005744,0.0005744,0.0005744
20,10248.4,1.1822,0.80157,1.84224,0.77528,0.88136,0.90203,0.59158,1.23553,0.87215,1.89753,0.0004952,0.0004952,0.0004952
21,10758.2,1.15389,0.76712,1.79194,0.85895,0.8678,0.92483,0.63472,1.14804,0.80494,1.81128,0.000416,0.000416,0.000416
22,11268.6,1.10564,0.72867,1.75193,0.8775,0.81695,0.91762,0.59866,1.22055,0.795,1.92403,0.0003368,0.0003368,0.0003368
23,11780.5,1.08224,0.72409,1.72316,0.84428,0.86384,0.92787,0.63782,1.14851,0.76649,1.8362,0.0002576,0.0002576,0.0002576
24,12291.3,1.05214,0.68753,1.69616,0.85692,0.8933,0.94216,0.63668,1.14529,0.75379,1.78623,0.0001784,0.0001784,0.0001784
25,12803.5,1.0234,0.67002,1.6667,0.8756,0.88136,0.94209,0.64998,1.11616,0.72102,1.77137,9.92e-05,9.92e-05,9.92e-05
