epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.297,2.95868,3.92913,3.87348,0.00087,0.17363,0.0006,0.00018,2.59598,4.27875,4.24524,0.000654545,0.000654545,0.000654545
2,710.887,2.43032,2.69407,2.91792,0.00122,0.18971,0.00092,0.00026,2.59198,4.22286,4.26192,0.00131249,0.00131249,0.00131249
3,1072.06,2.11845,2.15638,2.60965,0.3734,0.24335,0.22944,0.08099,2.20223,3.29941,3.19038,0.00196164,0.00196164,0.00196164
4,1427.76,1.92112,1.84346,2.40126,0.63654,0.53497,0.6028,0.27143,1.71731,3.94309,2.37722,0.0019604,0.0019604,0.0019604
5,1784.26,1.83694,1.6413,2.29802,0.57414,0.50161,0.55668,0.25189,1.95414,1.86863,2.45974,0.0019472,0.0019472,0.0019472
6,2146.35,1.71486,1.47986,2.18481,0.70048,0.73695,0.77157,0.43746,1.49873,1.75744,2.02714,0.001934,0.001934,0.001934
7,2509.1,1.64165,1.43018,2.10982,0.64957,0.63179,0.66654,0.3513,1.68107,1.43999,2.35871,0.0019208,0.0019208,0.0019208
8,2870.52,1.61312,1.38253,2.08023,0.7309,0.72026,0.74604,0.42954,1.47979,1.89614,2.04912,0.0019076,0.0019076,0.0019076
9,3228.46,1.56553,1.28336,2.02704,0.69843,0.77448,0.77122,0.43397,1.55921,1.47562,2.05162,0.0018944,0.0018944,0.0018944
10,3589.83,1.55617,1.27279,2.00301,0.72532,0.80661,0.78736,0.46953,1.47649,1.15316,2.00621,0.0018812,0.0018812,0.0018812
11,3951.68,1.5281,1.23753,1.97733,0.83822,0.74971,0.84327,0.49315,1.43661,1.07072,1.95801,0.001868,0.001868,0.001868
12,4314.43,1.50578,1.19208,1.97222,0.77187,0.84244,0.87014,0.53682,1.34744,1.07771,1.85993,0.0018548,0.0018548,0.0018548
13,4675.4,1.45665,1.18184,1.92377,0.76806,0.82637,0.81718,0.48932,1.33939,1.04097,1.94488,0.0018416,0.0018416,0.0018416
14,5034.69,1.44726,1.15847,1.9063,0.74626,0.82272,0.83921,0.49938,1.39009,1.06563,1.96001,0.0018284,0.0018284,0.0018284
15,5345.4,1.43771,1.13026,1.90323,0.76795,0.85209,0.86482,0.53612,1.3339,0.96851,1.79032,0.0018152,0.0018152,0.0018152
16,5682.77,1.41072,1.11142,1.86862,0.81556,0.81043,0.86954,0.52439,1.39517,1.04492,1.86269,0.001802,0.001802,0.001802
17,5992.84,1.40618,1.07996,1.85963,0.72571,0.7997,0.81914,0.49701,1.38523,1.03069,1.86812,0.0017888,0.0017888,0.0017888
