epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.283,5.77897,13.5333,8.12969,0.00015,0.04407,0.00011,2e-05,5.33544,14.7961,8.28168,0.00065,0.00065,0.00065
2,604.598,4.95887,9.12405,5.99893,0.00016,0.04746,0.00015,3e-05,5.47128,12.2014,8.6381,0.00130798,0.00130798,0.00130798
3,899.691,4.47576,6.27882,4.94602,0.0001,0.02712,7e-05,2e-05,5.49597,10.42,8.66156,0.00195715,0.00195715,0.00195715
4,1192.37,4.09801,4.91524,4.53666,0.47553,0.40339,0.42377,0.19104,3.67228,4.83044,4.2584,0.0019604,0.0019604,0.0019604
5,1486.91,3.79064,4.0915,4.22967,0.55755,0.49153,0.53147,0.25741,3.58025,3.91177,4.35134,0.0019472,0.0019472,0.0019472
6,1779.96,3.59224,3.7729,4.05459,0.49526,0.45902,0.49208,0.2389,3.4363,3.7075,4.01616,0.001934,0.001934,0.001934
7,2072.94,3.48386,3.46767,3.9167,0.54098,0.58305,0.58607,0.31835,2.98401,3.65471,3.60004,0.0019208,0.0019208,0.0019208
8,2375.07,3.35897,3.24098,3.77107,0.5765,0.6339,0.62785,0.34334,3.01771,3.40994,3.72942,0.0019076,0.0019076,0.0019076
9,2669.54,3.34593,3.10702,3.79169,0.65769,0.67736,0.67447,0.38448,2.96024,2.87694,3.49626,0.0018944,0.0018944,0.0018944
10,2964.03,3.18365,2.9933,3.64962,0.6303,0.61356,0.64889,0.37115,2.94895,2.74943,3.47814,0.0018812,0.0018812,0.0018812
11,3265.88,3.16102,2.77382,3.56338,0.55681,0.61754,0.58263,0.32791,2.96231,2.77759,3.5227,0.001868,0.001868,0.001868
12,3561.03,3.08628,2.80569,3.53413,0.6809,0.6678,0.72371,0.40505,2.9897,2.48637,3.44931,0.0018548,0.0018548,0.0018548
13,3865.91,3.08279,2.81411,3.50012,0.67398,0.58305,0.63584,0.31064,3.66971,3.27414,3.87153,0.0018416,0.0018416,0.0018416
14,4161.83,3.04914,2.62971,3.45777,0.67175,0.70759,0.74721,0.42671,2.85951,2.30443,3.29373,0.0018284,0.0018284,0.0018284
15,4455.52,2.97841,2.62608,3.41662,0.61844,0.68814,0.67822,0.3974,2.81765,2.46153,3.48067,0.0018152,0.0018152,0.0018152
16,4754.22,2.94132,2.57622,3.40163,0.62315,0.76271,0.73437,0.44278,2.6907,2.20388,3.23833,0.001802,0.001802,0.001802
17,5047.48,2.8751,2.45501,3.34908,0.63598,0.64553,0.68122,0.39055,3.04045,2.55319,3.65497,0.0017888,0.0017888,0.0017888
18,5345.48,2.78175,2.43197,3.29489,0.69105,0.74237,0.7603,0.42655,2.93552,2.43858,3.39231,0.0017756,0.0017756,0.0017756
19,5688.11,2.85815,2.37868,3.34649,0.69207,0.62034,0.70584,0.38692,2.96942,2.59067,3.49598,0.0017624,0.0017624,0.0017624
20,6012.53,2.87031,2.38688,3.34264,0.71697,0.69492,0.76096,0.47297,2.70065,2.13453,3.23116,0.0017492,0.0017492,0.0017492
21,6307.69,2.74531,2.29243,3.27184,0.71974,0.77288,0.781,0.50216,2.52904,1.90162,3.12135,0.001736,0.001736,0.001736
22,6615.14,2.74321,2.21386,3.25131,0.7324,0.67797,0.76406,0.48498,2.60158,2.06841,3.17334,0.0017228,0.0017228,0.0017228
23,6928.19,2.67898,2.20903,3.19066,0.729,0.70847,0.76878,0.48476,2.55102,2.17949,3.13919,0.0017096,0.0017096,0.0017096
24,7256.38,2.73089,2.23233,3.22608,0.76184,0.76988,0.7982,0.4817,2.85941,1.9398,3.3046,0.0016964,0.0016964,0.0016964
25,7558.44,2.65831,2.13003,3.13405,0.7196,0.72881,0.78149,0.48064,2.59019,2.05172,3.13962,0.0016832,0.0016832,0.0016832
26,7869.2,2.67786,2.14482,3.18946,0.65999,0.69831,0.71861,0.4262,2.97998,2.26048,3.32108,0.00167,0.00167,0.00167
