epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,576.368,2.89636,3.35685,3.62919,0.00186,0.24812,0.00135,0.00037,2.80118,4.06549,4.33363,0.000659649,0.000659649,0.000659649
2,1165.59,2.03407,2.02867,2.49707,0.6259,0.5094,0.54411,0.27473,1.7119,2.11053,2.33709,0.00131756,0.00131756,0.00131756
3,1754.33,1.73859,1.6391,2.18015,0.6421,0.58647,0.62581,0.31467,1.69238,2.43974,2.31014,0.00196668,0.00196668,0.00196668
4,2343.51,1.6465,1.48868,2.06498,0.74154,0.73345,0.78982,0.45114,1.45891,1.44521,2.02038,0.0019604,0.0019604,0.0019604
5,2934.35,1.55276,1.33429,1.96024,0.70155,0.71805,0.76597,0.41243,1.71597,1.38489,2.34027,0.0019472,0.0019472,0.0019472
6,3527.76,1.49019,1.26528,1.89565,0.76913,0.78759,0.81629,0.47706,1.4597,1.23078,1.90516,0.001934,0.001934,0.001934
7,4121.31,1.46133,1.21197,1.84575,0.75097,0.79699,0.83499,0.53275,1.2808,1.11865,1.72975,0.0019208,0.0019208,0.0019208
8,4701.47,1.42235,1.17527,1.80986,0.64659,0.5537,0.61673,0.3251,1.69119,1.65096,2.06114,0.0019076,0.0019076,0.0019076
9,5275.36,1.38686,1.12395,1.77392,0.79413,0.83647,0.85925,0.55054,1.27765,1.05809,1.73624,0.0018944,0.0018944,0.0018944
10,5848.93,1.36157,1.08282,1.74158,0.77322,0.81394,0.85985,0.53582,1.30952,1.03685,1.74429,0.0018812,0.0018812,0.0018812
11,6425.26,1.32511,1.05457,1.70825,0.83427,0.82322,0.90579,0.58449,1.24107,0.91402,1.69412,0.001868,0.001868,0.001868
12,7006.72,1.30951,1.02324,1.69986,0.84264,0.82895,0.89238,0.57031,1.27204,0.96307,1.6915,0.0018548,0.0018548,0.0018548
13,7584.03,1.30062,1.01479,1.67984,0.81499,0.83459,0.88173,0.5619,1.27173,0.94026,1.69724,0.0018416,0.0018416,0.0018416
14,8155.03,1.29336,1.0003,1.67443,0.83648,0.82331,0.87542,0.55655,1.24631,0.93123,1.64501,0.0018284,0.0018284,0.0018284
15,8736.55,1.25794,0.96397,1.64541,0.84171,0.78962,0.87697,0.55717,1.29508,0.9092,1.74455,0.0018152,0.0018152,0.0018152
16,9318.75,1.25168,0.93814,1.64345,0.81115,0.84775,0.89284,0.59564,1.23706,0.83768,1.6818,0.001802,0.001802,0.001802
17,9894.24,1.23199,0.94316,1.63004,0.81119,0.88346,0.90163,0.57921,1.25684,0.84981,1.67846,0.0017888,0.0017888,0.0017888
18,10475.3,1.23032,0.90771,1.60693,0.83878,0.86466,0.91124,0.61021,1.18954,0.82539,1.62324,0.0017756,0.0017756,0.0017756
19,11056.8,1.23193,0.92291,1.61452,0.8585,0.84211,0.91783,0.60455,1.20926,0.82686,1.63299,0.0017624,0.0017624,0.0017624
20,11637.3,1.22057,0.89539,1.60913,0.82837,0.87092,0.89938,0.59325,1.18719,0.8954,1.62412,0.0017492,0.0017492,0.0017492
21,12216.9,1.19431,0.88343,1.58772,0.86677,0.86827,0.91561,0.62395,1.17911,0.7674,1.60442,0.001736,0.001736,0.001736
22,12791.8,1.20874,0.88616,1.59274,0.86324,0.85338,0.91277,0.62166,1.15656,0.77157,1.59392,0.0017228,0.0017228,0.0017228
23,13373.2,1.17879,0.86862,1.57358,0.8259,0.80639,0.89154,0.59468,1.20734,0.85502,1.62336,0.0017096,0.0017096,0.0017096
24,13953.7,1.17533,0.84419,1.56868,0.8617,0.83156,0.90512,0.61037,1.14036,0.80061,1.54669,0.0016964,0.0016964,0.0016964
25,14535.1,1.15752,0.83537,1.54044,0.87945,0.82707,0.90557,0.59811,1.16761,0.81613,1.61996,0.0016832,0.0016832,0.0016832
26,15115.5,1.16025,0.8355,1.54904,0.87188,0.8985,0.93743,0.6349,1.13373,0.70001,1.57898,0.00167,0.00167,0.00167
27,15697.2,1.16387,0.82907,1.5641,0.83872,0.90038,0.92773,0.63229,1.12893,0.73643,1.54413,0.0016568,0.0016568,0.0016568
