epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4522,7.27281,9.86788,8.32796,0.00176,0.22366,0.00119,0.00037,5.91602,8.10524,9.13393,0.00331361,0.00331361,0.00331361
2,194.028,5.80775,6.81704,6.41059,0.11932,0.1371,0.06504,0.01931,4.71473,6.46129,6.24872,0.00660307,0.00660307,0.00660307
3,293.76,4.77223,5.24662,4.95797,0.17646,0.17204,0.09597,0.03321,4.55151,7.09961,5.69111,0.00984854,0.00984854,0.00984854
4,396.006,4.29602,4.54794,4.36244,0.33581,0.36909,0.29635,0.12437,3.65866,6.29205,4.63725,0.009802,0.009802,0.009802
5,500.103,4.03281,4.14879,4.0818,0.25254,0.23306,0.16711,0.06613,4.02817,6.75747,4.89461,0.009736,0.009736,0.009736
6,605.792,3.89427,3.88597,3.9178,0.42948,0.42957,0.38648,0.17244,3.62661,3.88613,4.52076,0.00967,0.00967,0.00967
7,713.059,3.77975,3.68327,3.81402,0.49499,0.48091,0.45111,0.20829,3.38633,3.87365,4.17293,0.009604,0.009604,0.009604
8,823.128,3.69165,3.5271,3.74377,0.51091,0.49167,0.48248,0.22993,3.27316,3.80333,4.06365,0.009538,0.009538,0.009538
9,935.736,3.65157,3.40332,3.66158,0.51661,0.51367,0.4995,0.23746,3.32628,3.29767,4.1118,0.009472,0.009472,0.009472
10,1051.94,3.58874,3.29158,3.62005,0.53523,0.54489,0.53016,0.26502,3.15461,3.1521,3.87717,0.009406,0.009406,0.009406
11,1168.65,3.52476,3.17958,3.54913,0.56316,0.54919,0.55375,0.26964,3.16344,3.06599,3.89316,0.00934,0.00934,0.00934
12,1287.54,3.48813,3.10878,3.53694,0.59205,0.58253,0.5947,0.29416,3.14851,3.00468,3.87492,0.009274,0.009274,0.009274
13,1407.61,3.47132,3.08583,3.51384,0.61405,0.58441,0.61239,0.31722,3.08102,2.83156,3.76811,0.009208,0.009208,0.009208
14,1528.74,3.43304,2.98268,3.47512,0.604,0.5818,0.59716,0.31164,3.01483,2.80139,3.66681,0.009142,0.009142,0.009142
15,1651.11,3.40544,2.93388,3.44212,0.60634,0.60493,0.61643,0.30786,3.07345,2.92871,3.74391,0.009076,0.009076,0.009076
16,1774.2,3.38143,2.8288,3.4045,0.62914,0.63226,0.64335,0.34297,2.93007,2.66734,3.61636,0.00901,0.00901,0.00901
17,1898.51,3.37464,2.79559,3.40796,0.64538,0.60699,0.6422,0.33679,2.97511,2.77443,3.63133,0.008944,0.008944,0.008944
18,2025.33,3.34804,2.75734,3.40497,0.66244,0.61829,0.65441,0.34737,2.98395,2.56148,3.64579,0.008878,0.008878,0.008878
19,2152.47,3.31443,2.69852,3.36344,0.66829,0.66183,0.68941,0.36842,2.96889,2.43628,3.60921,0.008812,0.008812,0.008812
20,2278.16,3.30626,2.68762,3.3577,0.65976,0.66129,0.68941,0.36932,2.94776,2.41295,3.56076,0.008746,0.008746,0.008746
21,2406.14,3.29952,2.62901,3.32553,0.66651,0.66747,0.69108,0.37569,2.92267,2.36528,3.51045,0.00868,0.00868,0.00868
22,2535.6,3.26392,2.58272,3.28997,0.66608,0.64882,0.67251,0.36363,2.92309,2.4769,3.5218,0.008614,0.008614,0.008614
23,2665.07,3.25753,2.57067,3.29204,0.68146,0.65,0.68986,0.37421,2.8595,2.35083,3.48085,0.008548,0.008548,0.008548
24,2797.83,3.24565,2.53948,3.29168,0.66155,0.66102,0.69126,0.37385,2.86835,2.44086,3.47157,0.008482,0.008482,0.008482
25,2928.66,3.2328,2.53484,3.27299,0.69358,0.69489,0.72258,0.40323,2.85173,2.27359,3.44717,0.008416,0.008416,0.008416
26,3062.77,3.19538,2.4689,3.25571,0.70529,0.66971,0.7137,0.39508,2.88244,2.22968,3.47997,0.00835,0.00835,0.00835
27,3198.07,3.19294,2.44228,3.24783,0.68895,0.67984,0.7205,0.40341,2.81668,2.22732,3.43105,0.008284,0.008284,0.008284
28,3331.3,3.17601,2.41134,3.21545,0.69832,0.67231,0.72166,0.39085,2.90124,2.25164,3.48528,0.008218,0.008218,0.008218
29,3466.5,3.15298,2.38795,3.20555,0.70165,0.68387,0.71539,0.38797,2.83696,2.31901,3.40069,0.008152,0.008152,0.008152
30,3602.84,3.14972,2.38653,3.20488,0.70774,0.6914,0.73583,0.40875,2.82521,2.24688,3.3705,0.008086,0.008086,0.008086
31,3738.48,3.14394,2.36299,3.20001,0.71834,0.6904,0.73973,0.41288,2.82617,2.14244,3.34937,0.00802,0.00802,0.00802
32,3875.25,3.12593,2.32658,3.17383,0.71521,0.70349,0.73158,0.40256,2.89063,2.12451,3.39236,0.007954,0.007954,0.007954
33,4012.41,3.13552,2.32831,3.17762,0.73119,0.69059,0.74347,0.42085,2.79314,2.08288,3.36008,0.007888,0.007888,0.007888
34,4149.58,3.11243,2.31176,3.17366,0.76088,0.67339,0.7534,0.41199,2.89,2.10445,3.39147,0.007822,0.007822,0.007822
35,4287.16,3.09127,2.29134,3.1532,0.7396,0.68683,0.74477,0.42252,2.78656,2.0612,3.33365,0.007756,0.007756,0.007756
36,4426.1,3.08156,2.26183,3.14667,0.71699,0.6707,0.7317,0.40692,2.81654,2.19469,3.32404,0.00769,0.00769,0.00769
37,4565.44,3.08038,2.22987,3.13404,0.71819,0.70484,0.74946,0.41648,2.78964,2.14383,3.28554,0.007624,0.007624,0.007624
38,4707.32,3.07422,2.23125,3.12488,0.73131,0.68844,0.7381,0.41464,2.83385,2.05663,3.33367,0.007558,0.007558,0.007558
39,4849.08,3.07271,2.21478,3.10971,0.73896,0.71505,0.75818,0.41986,2.79113,2.05252,3.32563,0.007492,0.007492,0.007492
40,4988.72,3.04463,2.18807,3.08922,0.73023,0.70995,0.75754,0.43114,2.74655,2.04264,3.25374,0.007426,0.007426,0.007426
41,5129.79,3.04939,2.18722,3.09785,0.75206,0.71398,0.77006,0.44159,2.74272,1.94949,3.23147,0.00736,0.00736,0.00736
42,5265.14,3.02611,2.12154,3.0633,0.73961,0.70403,0.7565,0.43115,2.77766,1.9881,3.27988,0.007294,0.007294,0.007294
43,5404.91,3.01357,2.1641,3.05934,0.75873,0.72231,0.77527,0.43686,2.78217,1.91229,3.22045,0.007228,0.007228,0.007228
44,5545.88,3.01057,2.14173,3.06574,0.76189,0.71102,0.77109,0.43514,2.7692,1.98363,3.25072,0.007162,0.007162,0.007162
45,5687.05,3.00971,2.11724,3.06397,0.76259,0.69462,0.76277,0.44073,2.72385,1.99556,3.24508,0.007096,0.007096,0.007096
46,5830.82,3.01068,2.11071,3.05693,0.74239,0.7313,0.76683,0.43449,2.78675,1.97816,3.27005,0.00703,0.00703,0.00703
47,5972.21,2.98864,2.08657,3.02472,0.75697,0.72258,0.77754,0.44196,2.76696,1.9473,3.29036,0.006964,0.006964,0.006964
48,6115.61,2.95643,2.05609,3.01511,0.75782,0.725,0.77159,0.44408,2.74385,1.92351,3.21866,0.006898,0.006898,0.006898
49,6257.28,2.98726,2.08617,3.03538,0.76847,0.72715,0.7828,0.45,2.71145,1.87223,3.19386,0.006832,0.006832,0.006832
50,6397.71,2.95116,2.05156,3.00824,0.74099,0.71371,0.77153,0.44322,2.73147,1.92537,3.20481,0.006766,0.006766,0.006766
51,6537.44,2.96514,2.05539,3.02304,0.76687,0.73925,0.79785,0.46546,2.66252,1.8236,3.16651,0.0067,0.0067,0.0067
52,6678.04,2.94842,2.03043,2.99263,0.77732,0.71102,0.77951,0.45014,2.70768,1.88822,3.19815,0.006634,0.006634,0.006634
53,6821.42,2.95375,2.02012,3.00771,0.76155,0.72876,0.7819,0.44778,2.71512,1.86908,3.20072,0.006568,0.006568,0.006568
