epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.766,7.31631,9.69131,8.24066,0.0064,0.00914,0.00188,0.00052,5.93513,8.94699,8.48121,0.00332344,0.00332344,0.00332344
2,439.506,5.86514,6.66263,6.54445,0.18107,0.15269,0.09773,0.03002,4.48718,6.50377,5.96841,0.00661284,0.00661284,0.00661284
3,609.034,4.66408,5.05756,4.90385,0.27572,0.31102,0.21665,0.08977,3.84862,5.05164,5.04451,0.00985824,0.00985824,0.00985824
4,774.607,4.19644,4.3817,4.29117,0.37954,0.40188,0.32851,0.14857,3.52999,4.48727,4.50325,0.009802,0.009802,0.009802
5,946.152,3.96197,3.98427,4.02137,0.45623,0.46694,0.42049,0.19031,3.4884,3.77804,4.35835,0.009736,0.009736,0.009736
6,1129.09,3.80502,3.72092,3.86931,0.45481,0.45027,0.42269,0.19639,3.40769,3.72427,4.3012,0.00967,0.00967,0.00967
7,1324.05,3.70041,3.49622,3.77452,0.54925,0.52443,0.52096,0.25779,3.17855,3.23396,3.9832,0.009604,0.009604,0.009604
8,1530.79,3.59088,3.30667,3.66757,0.5905,0.56425,0.58458,0.2968,3.1841,3.10594,4.00344,0.009538,0.009538,0.009538
9,1745.8,3.55007,3.16584,3.58973,0.53833,0.54008,0.52911,0.26086,3.2392,3.31257,4.00512,0.009472,0.009472,0.009472
10,1970.74,3.48518,3.08107,3.54648,0.55393,0.56129,0.55625,0.28694,3.07628,3.29474,3.84054,0.009406,0.009406,0.009406
11,2200.11,3.43006,2.955,3.48824,0.60106,0.61613,0.6235,0.32563,3.01928,2.79358,3.74393,0.00934,0.00934,0.00934
12,2432.69,3.38048,2.86622,3.46063,0.64279,0.64731,0.67031,0.37104,2.87562,2.56185,3.63722,0.009274,0.009274,0.009274
13,2667.12,3.35132,2.77847,3.41439,0.65618,0.62769,0.66281,0.35678,2.90537,2.60737,3.63604,0.009208,0.009208,0.009208
14,2902.39,3.30896,2.69806,3.40079,0.65584,0.6621,0.6945,0.38701,2.88574,2.5345,3.57481,0.009142,0.009142,0.009142
15,3133.06,3.26528,2.63452,3.34772,0.66601,0.63522,0.67939,0.37173,2.94184,2.50355,3.63622,0.009076,0.009076,0.009076
16,3347.65,3.24999,2.58011,3.32236,0.6829,0.66169,0.70487,0.37967,2.9366,2.40488,3.61556,0.00901,0.00901,0.00901
17,3568.15,3.22312,2.50871,3.31595,0.69022,0.6804,0.71866,0.39522,2.87741,2.37808,3.5413,0.008944,0.008944,0.008944
18,3793.77,3.18119,2.4852,3.2695,0.72324,0.6621,0.72564,0.40188,2.90428,2.24538,3.55934,0.008878,0.008878,0.008878
19,4022.56,3.15958,2.42015,3.26094,0.7176,0.69198,0.73711,0.40204,2.87844,2.30483,3.52668,0.008812,0.008812,0.008812
20,4255.26,3.14022,2.39863,3.25073,0.74131,0.69329,0.76052,0.42274,2.86507,2.13549,3.52675,0.008746,0.008746,0.008746
21,4491.67,3.12691,2.35287,3.22011,0.69636,0.70618,0.74195,0.41419,2.81701,2.2104,3.45276,0.00868,0.00868,0.00868
22,4727.07,3.12528,2.33067,3.20321,0.72331,0.70132,0.75841,0.43529,2.75549,2.10917,3.41518,0.008614,0.008614,0.008614
23,4961.78,3.09092,2.28194,3.19752,0.74934,0.70645,0.76959,0.442,2.79364,2.04598,3.42437,0.008548,0.008548,0.008548
24,5198.88,3.07927,2.25333,3.17992,0.74491,0.69167,0.75605,0.42393,2.80639,2.10775,3.3968,0.008482,0.008482,0.008482
25,5436.32,3.05631,2.21286,3.15808,0.74293,0.7129,0.7671,0.43828,2.75914,2.06415,3.39086,0.008416,0.008416,0.008416
26,5667.02,3.03238,2.2002,3.14246,0.74369,0.71602,0.77884,0.44637,2.72889,2.02991,3.34242,0.00835,0.00835,0.00835
27,5898.26,3.04445,2.16776,3.14854,0.75951,0.71425,0.77883,0.45208,2.71605,1.94451,3.33723,0.008284,0.008284,0.008284
28,6131.74,2.99422,2.12144,3.10199,0.74394,0.71237,0.77602,0.45121,2.6981,2.01435,3.32202,0.008218,0.008218,0.008218
29,6368.41,2.99371,2.11004,3.09777,0.74336,0.72903,0.77923,0.45723,2.68458,2.01147,3.28667,0.008152,0.008152,0.008152
30,6597.1,2.97441,2.09543,3.10001,0.75952,0.72876,0.78451,0.45736,2.72489,1.94085,3.33522,0.008086,0.008086,0.008086
31,6819.13,2.9586,2.05446,3.07798,0.76109,0.725,0.78838,0.45684,2.75866,1.92895,3.38061,0.00802,0.00802,0.00802
32,7036.4,2.95897,2.056,3.07461,0.74957,0.73783,0.78758,0.44235,2.74309,1.99109,3.35273,0.007954,0.007954,0.007954
33,7249.52,2.96176,2.04623,3.05876,0.73999,0.74132,0.78699,0.45307,2.73244,1.94886,3.32869,0.007888,0.007888,0.007888
34,7462.84,2.93941,2.03639,3.05571,0.75284,0.72384,0.78312,0.46034,2.72557,1.89792,3.30998,0.007822,0.007822,0.007822
35,7675.34,2.90943,1.99825,3.03548,0.76071,0.74032,0.79181,0.45898,2.73287,1.87658,3.31118,0.007756,0.007756,0.007756
36,7886.04,2.93149,1.99082,3.04257,0.76899,0.73253,0.79432,0.4658,2.71918,1.83201,3.28046,0.00769,0.00769,0.00769
37,8097.56,2.88846,1.95724,3.02071,0.77218,0.73621,0.79751,0.46312,2.7087,1.82718,3.30318,0.007624,0.007624,0.007624
38,8306.87,2.88616,1.94314,3.01494,0.79027,0.73437,0.79789,0.46416,2.73268,1.81143,3.28017,0.007558,0.007558,0.007558
39,8511.5,2.86855,1.90859,3.00053,0.78545,0.74892,0.81113,0.4719,2.66078,1.78894,3.24477,0.007492,0.007492,0.007492
40,8718.41,2.88112,1.91275,2.97833,0.76607,0.75538,0.80789,0.46291,2.74915,1.8449,3.31358,0.007426,0.007426,0.007426
41,8925.56,2.86438,1.89695,2.98985,0.76583,0.75079,0.80077,0.47359,2.6197,1.81293,3.21928,0.00736,0.00736,0.00736
42,9134.95,2.8431,1.85268,2.95196,0.78651,0.74672,0.81297,0.47722,2.66329,1.71417,3.23879,0.007294,0.007294,0.007294
43,9340,2.84208,1.87296,2.96006,0.78686,0.76371,0.8123,0.47109,2.66755,1.75773,3.25712,0.007228,0.007228,0.007228
44,9545.54,2.82809,1.86312,2.95534,0.79347,0.75497,0.80745,0.47674,2.68526,1.7221,3.22652,0.007162,0.007162,0.007162
45,9753,2.81153,1.82119,2.93696,0.77479,0.75744,0.81075,0.47645,2.674,1.72427,3.24792,0.007096,0.007096,0.007096
46,9956.09,2.80174,1.81499,2.9281,0.7729,0.75201,0.80602,0.47392,2.66963,1.75118,3.23294,0.00703,0.00703,0.00703
47,10163.2,2.81215,1.79842,2.92538,0.80554,0.74165,0.81175,0.47745,2.65388,1.76784,3.23227,0.006964,0.006964,0.006964
48,10371.8,2.78457,1.79583,2.91686,0.77303,0.76667,0.81097,0.48036,2.64893,1.73086,3.22804,0.006898,0.006898,0.006898
49,10579.7,2.78424,1.79501,2.915,0.78504,0.74839,0.81022,0.47567,2.65955,1.73609,3.23377,0.006832,0.006832,0.006832
50,10786.2,2.76563,1.75476,2.89526,0.80095,0.74758,0.82017,0.48929,2.61351,1.70745,3.19432,0.006766,0.006766,0.006766
51,10994.4,2.76619,1.77006,2.91056,0.79795,0.75134,0.81643,0.49094,2.59801,1.70767,3.1914,0.0067,0.0067,0.0067
52,11203.8,2.73861,1.74362,2.88604,0.77647,0.7629,0.8111,0.483,2.65647,1.71246,3.2349,0.006634,0.006634,0.006634
53,11413.5,2.74933,1.75225,2.88052,0.7733,0.77209,0.81303,0.47709,2.65003,1.67881,3.17447,0.006568,0.006568,0.006568
54,11625.7,2.73479,1.71481,2.85401,0.80237,0.75196,0.81399,0.47941,2.6689,1.67153,3.20761,0.006502,0.006502,0.006502
55,11837.4,2.7233,1.69452,2.85608,0.79085,0.76801,0.8192,0.48635,2.67331,1.66862,3.19492,0.006436,0.006436,0.006436
56,12048.6,2.7412,1.715,2.86354,0.80531,0.74053,0.81511,0.48494,2.66475,1.69692,3.20002,0.00637,0.00637,0.00637
57,12258.1,2.72423,1.68968,2.85243,0.77609,0.76909,0.81553,0.49281,2.59584,1.66301,3.16791,0.006304,0.006304,0.006304
58,12470.3,2.71055,1.68795,2.84143,0.8169,0.75197,0.82033,0.48997,2.65193,1.6507,3.17951,0.006238,0.006238,0.006238
59,12679.9,2.693,1.65985,2.84862,0.80198,0.77366,0.83236,0.49984,2.59523,1.63203,3.17289,0.006172,0.006172,0.006172
60,12892.2,2.68956,1.66437,2.83876,0.79049,0.76478,0.82107,0.49277,2.61575,1.62791,3.15858,0.006106,0.006106,0.006106
61,13103,2.68816,1.65773,2.82574,0.80676,0.74967,0.81981,0.48686,2.64334,1.64262,3.17494,0.00604,0.00604,0.00604
62,13314.3,2.67385,1.63064,2.82399,0.79685,0.77312,0.82678,0.4921,2.61539,1.63685,3.15339,0.005974,0.005974,0.005974
63,13523.9,2.66562,1.61857,2.819,0.79427,0.78011,0.82458,0.49365,2.632,1.60268,3.16641,0.005908,0.005908,0.005908
64,13733.6,2.65067,1.63141,2.81187,0.79995,0.7707,0.8242,0.49266,2.63822,1.63849,3.17691,0.005842,0.005842,0.005842
65,13959.9,2.65403,1.62007,2.81072,0.81185,0.75974,0.83174,0.50381,2.59696,1.60633,3.11947,0.005776,0.005776,0.005776
66,14184.7,2.65594,1.59324,2.78466,0.81491,0.76962,0.83241,0.49793,2.63595,1.6068,3.14377,0.00571,0.00571,0.00571
67,14402.9,2.64656,1.60533,2.7898,0.81215,0.75618,0.81952,0.48983,2.64769,1.62287,3.1908,0.005644,0.005644,0.005644
68,14618.3,2.62607,1.57785,2.78259,0.79828,0.76505,0.82387,0.49244,2.63142,1.63005,3.15454,0.005578,0.005578,0.005578
69,14832.9,2.60762,1.57433,2.7722,0.81119,0.76909,0.8218,0.48293,2.68221,1.62143,3.19198,0.005512,0.005512,0.005512
70,15049.3,2.60988,1.5601,2.76726,0.82169,0.74167,0.82167,0.48862,2.65181,1.63878,3.1806,0.005446,0.005446,0.005446
71,15266,2.60119,1.5799,2.77052,0.79961,0.78333,0.83497,0.49541,2.6445,1.5707,3.15711,0.00538,0.00538,0.00538
72,15483.9,2.59533,1.57794,2.76107,0.80493,0.7828,0.8361,0.49833,2.62163,1.57627,3.12941,0.005314,0.005314,0.005314
