epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0909,5.65196,13.3861,8.2414,0.0017,0.51114,0.00538,0.00119,4.63438,13.1407,7.93949,0.000657534,0.000657534,0.000657534
2,73.1961,5.0998,9.24036,6.23424,0.00298,0.89276,0.03268,0.00889,4.36611,7.82986,5.60574,0.00131546,0.00131546,0.00131546
3,112.451,4.70588,7.45721,5.16896,0.00341,0.23398,0.00247,0.00074,5.10999,9.01394,8.09929,0.00196459,0.00196459,0.00196459
4,147.815,4.61544,6.75976,4.95743,0.06984,0.27577,0.05366,0.01401,4.65068,7.04347,5.2081,0.0019604,0.0019604,0.0019604
5,182.764,4.37942,6.13774,4.75223,0.1803,0.25766,0.11739,0.03511,4.68805,6.08376,5.11398,0.0019472,0.0019472,0.0019472
6,217.806,4.22538,5.71793,4.66847,0.25409,0.27577,0.18021,0.05954,4.45496,5.48711,4.97358,0.001934,0.001934,0.001934
7,252.266,4.02668,5.40522,4.50045,0.37233,0.39694,0.31776,0.12429,4.13251,4.77034,4.47989,0.0019208,0.0019208,0.0019208
8,286.779,4.00133,4.98918,4.42234,0.49285,0.44011,0.41633,0.18352,3.84769,4.53185,4.23164,0.0019076,0.0019076,0.0019076
9,321.2,3.76707,4.59776,4.22717,0.49923,0.46236,0.4275,0.18365,3.99246,4.17717,4.37627,0.0018944,0.0018944,0.0018944
10,356.041,3.71081,4.33816,4.16165,0.57668,0.52228,0.51142,0.24077,3.69423,3.89092,4.03432,0.0018812,0.0018812,0.0018812
11,390.822,3.68285,4.1702,4.09847,0.64437,0.54875,0.58094,0.28157,3.56986,3.43718,3.89915,0.001868,0.001868,0.001868
12,425.17,3.5326,3.9757,3.96909,0.61842,0.56882,0.58908,0.29173,3.58254,3.74577,3.92055,0.0018548,0.0018548,0.0018548
13,459.957,3.52893,3.87617,3.90991,0.66584,0.56336,0.60162,0.28578,3.64128,3.37192,3.94008,0.0018416,0.0018416,0.0018416
14,503.836,3.46827,3.71391,3.8892,0.70254,0.55432,0.61307,0.32209,3.52129,3.13959,3.84276,0.0018284,0.0018284,0.0018284
