epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.139,5.58234,12.6468,7.99911,0.00264,0.79248,0.02104,0.00588,4.64472,11.9909,7.18079,0.000657534,0.000657534,0.000657534
2,350.269,4.92242,8.14647,5.93183,0.00303,0.90808,0.02503,0.00719,4.16982,7.85405,5.2434,0.00131546,0.00131546,0.00131546
3,509.672,4.69785,6.83573,5.19475,0.01697,0.48747,0.02184,0.00507,4.8862,8.33584,6.20087,0.00196459,0.00196459,0.00196459
4,671.967,4.52647,6.29857,5.05753,0.04207,0.22145,0.02892,0.00896,4.53919,10.6723,5.36128,0.0019604,0.0019604,0.0019604
5,833.006,4.35252,5.69438,4.90016,0.15397,0.35515,0.11788,0.03839,4.22682,9.03358,4.83278,0.0019472,0.0019472,0.0019472
6,992.295,4.17678,5.2574,4.84779,0.23998,0.2117,0.14092,0.04963,4.6831,6.47493,5.74496,0.001934,0.001934,0.001934
7,1151.5,3.99419,4.92567,4.70709,0.52099,0.43315,0.42041,0.18384,3.94627,4.52108,4.48699,0.0019208,0.0019208,0.0019208
8,1308.59,3.9264,4.63333,4.56742,0.40777,0.3844,0.32705,0.1224,4.19719,4.72159,5.0606,0.0019076,0.0019076,0.0019076
9,1465.88,3.7293,4.26026,4.39281,0.60048,0.47354,0.49888,0.22319,3.97477,4.11614,4.52687,0.0018944,0.0018944,0.0018944
10,1622.54,3.66135,4.08883,4.34391,0.61483,0.54914,0.54986,0.25984,3.70374,3.69567,4.16481,0.0018812,0.0018812,0.0018812
11,1780.54,3.60312,3.9782,4.26217,0.70501,0.54318,0.59703,0.2958,3.6943,3.43848,4.26395,0.001868,0.001868,0.001868
12,1937.65,3.45905,3.63992,4.08705,0.5832,0.53343,0.52763,0.2263,4.04132,3.67338,4.59354,0.0018548,0.0018548,0.0018548
13,2094.01,3.49446,3.64949,4.09098,0.5972,0.58496,0.58216,0.28594,3.6871,3.44976,4.1487,0.0018416,0.0018416,0.0018416
14,2249.65,3.41695,3.48925,4.01096,0.68626,0.63231,0.66779,0.34677,3.49932,3.00556,3.91051,0.0018284,0.0018284,0.0018284
15,2413.47,3.33046,3.3411,3.90453,0.6222,0.56964,0.57371,0.26397,3.73419,3.56776,4.27317,0.0018152,0.0018152,0.0018152
16,2569.09,3.28709,3.20272,3.83882,0.72167,0.65364,0.68005,0.37695,3.29084,2.79642,3.74824,0.001802,0.001802,0.001802
17,2731.77,3.19145,3.1092,3.73729,0.74753,0.66295,0.70766,0.37449,3.31713,2.70734,3.77702,0.0017888,0.0017888,0.0017888
18,2890.23,3.16453,3.0962,3.72927,0.759,0.66852,0.71787,0.38452,3.25148,2.76829,3.73426,0.0017756,0.0017756,0.0017756
19,3046.97,3.16676,3.03851,3.70238,0.70485,0.6546,0.68244,0.37143,3.32042,2.61644,3.76303,0.0017624,0.0017624,0.0017624
20,3202.72,3.18261,2.99466,3.69128,0.78722,0.64409,0.71035,0.39254,3.2361,2.62983,3.63313,0.0017492,0.0017492,0.0017492
21,3356.22,3.08853,2.8239,3.60492,0.77865,0.70334,0.73776,0.39997,3.31626,2.55236,3.75968,0.001736,0.001736,0.001736
22,3512.34,3.04678,2.78008,3.5698,0.78269,0.69225,0.74458,0.44319,2.96789,2.56327,3.39174,0.0017228,0.0017228,0.0017228
23,3668.58,3.05345,2.84474,3.57602,0.81987,0.66295,0.74577,0.4229,3.07425,2.50874,3.46733,0.0017096,0.0017096,0.0017096
24,3824.43,2.96134,2.71575,3.46476,0.76379,0.68452,0.72962,0.40898,3.22705,2.59571,3.58989,0.0016964,0.0016964,0.0016964
25,3979.48,3.008,2.69092,3.52593,0.77563,0.67967,0.74768,0.42393,3.09982,2.41585,3.53488,0.0016832,0.0016832,0.0016832
26,4135.3,2.94222,2.6119,3.46193,0.82565,0.68384,0.76932,0.46359,2.92525,2.40997,3.33435,0.00167,0.00167,0.00167
27,4304.42,2.92698,2.56984,3.43102,0.79835,0.72284,0.76686,0.45439,3.01775,2.29524,3.41728,0.0016568,0.0016568,0.0016568
28,4458.91,2.89331,2.60116,3.41804,0.77847,0.72145,0.77261,0.44733,3.02726,2.32982,3.48779,0.0016436,0.0016436,0.0016436
29,4620.62,2.88349,2.54773,3.39636,0.83183,0.71309,0.79012,0.461,3.01723,2.32217,3.44534,0.0016304,0.0016304,0.0016304
